txn_id,txn_date,client_id,card_id,txn_amount,use_chip,merchant_id,txn_city,txn_state,zip,mcc,errors,amount_raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20608046,01-01-2018 14:48,114,3398,55,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23242844,14-07-2019 00:40,114,3398,87,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$87.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8528500,18-09-2010 09:15,114,3398,3,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16813893,16-10-2015 13:29,114,5283,46,Chip Transaction,26909,Covina,CA,91722,5211,,$46.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8534397,19-09-2010 14:27,114,3070,46,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$45.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17695608,23-04-2016 00:52,114,5283,43,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$43.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16306663,30-06-2015 01:38,114,3070,44,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$44.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12411975,01-03-2013 09:23,114,3398,2,Swipe Transaction,55060,North Hollywood,CA,91606,5812,,$2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15619002,02-02-2015 00:50,114,3398,56,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$56.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15701193,19-02-2015 18:53,114,5283,2,Chip Transaction,20561,North Hollywood,CA,91606,5912,,$1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7834506,01-04-2010 15:01,114,3398,37,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$37.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21206472,08-05-2018 16:14,114,3070,10,Chip Transaction,83271,Chino Hills,CA,91709,4214,,$9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23147916,24-06-2019 00:52,114,3398,91,Chip Transaction,26810,Orlando,FL,32814,5541,,$91.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23425185,21-08-2019 12:46,114,3398,19,Swipe Transaction,22204,Camarillo,CA,93010,5541,,$18.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18332608,05-09-2016 18:43,114,3398,2,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14678699,12-07-2014 14:46,114,3070,-85,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$-85.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16339644,07-07-2015 01:13,114,5283,93,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15709295,21-02-2015 14:34,114,3398,-80,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$-80.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8197732,30-06-2010 10:16,114,3070,2,Swipe Transaction,33234,North Hollywood,CA,91606,5812,,$2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470231,16-12-2011 14:57,114,3398,29,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$29.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21352874,08-06-2018 17:37,114,3070,20,Chip Transaction,55060,North Hollywood,CA,91606,5812,,$20.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12240663,21-01-2013 16:59,114,3070,34,Online Transaction,15143,ONLINE,,,4784,,$34.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21584108,27-07-2018 14:52,114,3070,48,Chip Transaction,59935,Porterville,CA,93257,5499,,$47.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13712126,13-12-2013 00:41,114,3398,-71,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$-71.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22235485,12-12-2018 17:21,114,3070,30,Online Transaction,15143,ONLINE,,,4784,,$29.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11300821,23-06-2012 13:29,114,3070,40,Swipe Transaction,26909,Covina,CA,91722,5211,,$40.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7774299,17-03-2010 14:40,114,3398,54,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$53.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20540881,18-12-2017 13:08,114,3070,17,Chip Transaction,41137,North Hollywood,CA,91606,5411,,$16.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14395081,11-05-2014 13:50,114,3398,29,Online Transaction,73186,ONLINE,,,4814,,$28.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12536494,29-03-2013 00:04,114,3398,54,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16506506,11-08-2015 14:33,114,5283,53,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$53.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13148048,10-08-2013 17:51,114,3398,34,Online Transaction,15143,ONLINE,,,4784,,$34.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8522053,16-09-2010 14:43,114,3398,56,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$56.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22994152,22-05-2019 14:31,114,5283,51,Chip Transaction,61195,North Hollywood,CA,91606,5541,Insufficient Balance,$51.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12174795,07-01-2013 00:54,114,3070,73,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$73.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21243303,16-05-2018 13:22,114,5283,54,Chip Transaction,20561,North Hollywood,CA,91606,5912,,$54.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15885991,31-03-2015 14:36,114,3398,-76,Chip Transaction,61195,North Hollywood,CA,91606,5541,Technical Glitch,$-76.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17644106,12-04-2016 00:45,114,5283,37,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$36.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20567234,24-12-2017 00:59,114,3070,-53,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$-53.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11474485,01-08-2012 18:37,114,3070,2,Swipe Transaction,41137,North Hollywood,CA,91606,5411,,$2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22912150,05-05-2019 00:52,114,3398,83,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$83.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22636567,07-03-2019 16:34,114,3398,13,Chip Transaction,50783,North Hollywood,CA,91606,5411,,$13.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10222768,20-10-2011 16:32,114,3070,29,Online Transaction,15143,ONLINE,,,4784,,$28.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9985229,27-08-2011 00:57,114,3070,46,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$45.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23421935,20-08-2019 16:44,114,3398,30,Online Transaction,15143,ONLINE,,,4784,,$30.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18489819,09-10-2016 12:50,114,3070,47,Chip Transaction,26909,Covina,CA,91722,5211,,$47.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18731840,30-11-2016 00:11,114,5283,48,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$48.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161516,06-10-2011 14:53,114,3070,50,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19079539,12-02-2017 00:30,114,3398,63,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12408633,28-02-2013 13:20,114,3070,41,Swipe Transaction,41137,North Hollywood,CA,91606,5411,,$40.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13725333,15-12-2013 18:15,114,3070,36,Swipe Transaction,55060,North Hollywood,CA,91606,5812,,$36.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21251512,18-05-2018 09:24,114,3070,2,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17475647,06-03-2016 18:47,114,5283,2,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16768325,06-10-2015 15:57,114,3070,64,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$64.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10720065,11-02-2012 14:38,114,3070,84,Swipe Transaction,61195,San Antonio,TX,78240,5541,,$84.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18745067,02-12-2016 18:46,114,3398,2,Chip Transaction,64586,North Hollywood,CA,91606,5912,,$1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10287554,04-11-2011 14:15,114,3398,63,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13140868,09-08-2013 08:58,114,3070,3,Swipe Transaction,50783,North Hollywood,CA,91606,5411,,$2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8076198,31-05-2010 15:31,114,3070,73,Swipe Transaction,64586,North Hollywood,CA,91606,5912,,$73.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12412689,01-03-2013 11:40,114,3070,338,Swipe Transaction,10978,North Hollywood,CA,91606,8111,,$337.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14041373,23-02-2014 00:36,114,3398,99,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21352473,08-06-2018 16:07,114,5283,14,Chip Transaction,83480,North Hollywood,CA,91606,9402,,$14.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18141379,27-07-2016 01:18,114,5283,93,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10820482,06-03-2012 14:32,114,3070,-56,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$-56.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16035769,03-05-2015 00:40,114,3398,24,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$23.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15478756,02-01-2015 14:57,114,3398,39,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$39.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17737216,02-05-2016 00:39,114,3398,66,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$66.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12674885,28-04-2013 14:34,114,3070,54,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23738549,27-10-2019 00:40,114,3398,-96,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$-96.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22344664,04-01-2019 18:27,114,3398,25,Chip Transaction,33234,North Hollywood,CA,91606,5812,,$24.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18690307,21-11-2016 09:04,114,3398,2,Chip Transaction,55060,North Hollywood,CA,91606,5812,,$2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279693,02-11-2011 18:48,114,3070,3,Swipe Transaction,50783,North Hollywood,CA,91606,5411,,$2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17848281,25-05-2016 14:42,114,3398,37,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$36.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7753869,12-03-2010 13:09,114,3398,55,Swipe Transaction,18215,Valley Village,CA,91607,5719,,$54.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12103817,22-12-2012 00:47,114,3398,-61,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$-61.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9325513,26-03-2011 18:05,114,3398,2,Swipe Transaction,64586,North Hollywood,CA,91606,5912,,$2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13516255,30-10-2013 19:07,114,5283,60,Swipe Transaction,27092,Baldwin Park,CA,91706,4829,,$60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16058792,08-05-2015 00:35,114,3070,62,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$61.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10820919,06-03-2012 16:00,114,3070,11,Swipe Transaction,83480,North Hollywood,CA,91606,9402,,$11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11365385,08-07-2012 06:34,114,3070,42,Swipe Transaction,41137,North Hollywood,CA,91606,5411,,$41.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18544054,21-10-2016 01:16,114,5283,45,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$44.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23639338,05-10-2019 18:56,114,5283,1,Chip Transaction,50783,North Hollywood,CA,91606,5411,,$1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12372443,20-02-2013 13:20,114,3398,51,Swipe Transaction,31893,Baldwin Park,CA,91706,5311,,$50.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8992079,07-01-2011 00:32,114,3070,51,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$50.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8304238,26-07-2010 09:02,114,3398,3,Swipe Transaction,20519,Fontana,CA,92335,5942,,$2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14523540,08-06-2014 16:37,114,3070,30,Online Transaction,15143,ONLINE,,,4784,,$29.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18364817,12-09-2016 16:44,114,3070,39,Online Transaction,15143,ONLINE,,,4784,,$39.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23108538,15-06-2019 16:00,114,5283,12,Chip Transaction,83480,North Hollywood,CA,91606,9402,,$11.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15305121,26-11-2014 00:56,114,3070,46,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$46.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18191082,06-08-2016 16:05,114,3398,12,Chip Transaction,83480,North Hollywood,CA,91606,9402,,$12.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16029658,01-05-2015 16:14,114,5283,14,Chip Transaction,83271,Chino Hills,CA,91709,4214,,$13.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10614498,18-01-2012 14:56,114,3398,61,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$60.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18542842,20-10-2016 16:26,114,3398,39,Online Transaction,15143,ONLINE,,,4784,,$39.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19250837,20-03-2017 14:51,114,3070,36,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$36.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13357045,25-09-2013 18:34,114,3070,2,Swipe Transaction,22204,Santa Monica,CA,90404,5541,,$2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10869685,17-03-2012 16:12,114,3398,71,Swipe Transaction,81699,North Hollywood,CA,91606,7230,,$70.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12737869,12-05-2013 13:35,114,3398,45,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$45.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18140049,26-07-2016 16:03,114,3398,59,Chip Transaction,81699,North Hollywood,CA,91606,7230,,$58.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18614168,05-11-2016 00:50,114,3070,-97,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$-97.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21692837,19-08-2018 14:41,114,3070,-100,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14871131,23-08-2014 13:31,114,3070,25,Online Transaction,73186,ONLINE,,,4814,,$24.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8611838,08-10-2010 09:01,114,3398,2,Swipe Transaction,41137,North Hollywood,CA,91606,5411,,$2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9621863,04-06-2011 00:53,114,3398,47,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$46.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15230674,10-11-2014 00:50,114,5283,-85,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$-85.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9833512,23-07-2011 00:37,114,3398,-66,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$-66.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23727392,24-10-2019 14:53,114,5283,87,Chip Transaction,61195,North Hollywood,CA,91606,5541,,$87.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12996727,08-07-2013 12:46,114,3398,12,Swipe Transaction,75936,North Hollywood,CA,91606,5814,,$12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23686954,16-10-2019 00:55,114,5283,92,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$92.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18511426,13-10-2016 23:14,114,3070,-239,Chip Transaction,13348,ONLINE,,,4722,,$-239.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9723404,27-06-2011 14:32,114,3398,48,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$47.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12541149,30-03-2013 00:36,114,3398,54,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$54.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17205650,08-01-2016 00:43,114,3070,91,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$91.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22197814,04-12-2018 18:15,114,5283,23,Chip Transaction,55060,North Hollywood,CA,91606,5812,,$22.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8347742,05-08-2010 14:53,114,3070,82,Swipe Transaction,61195,North Palm Springs,CA,92258,5541,,$82.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11996952,28-11-2012 00:12,114,3398,75,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16788004,11-10-2015 00:34,114,3070,-78,Chip Transaction,59935,North Hollywood,CA,91606,5499,,$-78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22143422,23-11-2018 09:25,114,3398,2,Chip Transaction,50783,North Hollywood,CA,91606,5411,,$2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10061804,13-09-2011 14:41,114,3070,-74,Swipe Transaction,59935,North Hollywood,CA,91606,5499,,$-74.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15309292,27-11-2014 00:46,114,3070,92,Swipe Transaction,61195,North Hollywood,CA,91606,5541,,$92.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
