id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7475341,01-01-2010 00:27,1797,1127,$43.33,Swipe Transaction,33326,Kahului,HI,96732,4121,
7475342,01-01-2010 00:30,114,3398,$49.42,Swipe Transaction,61195,North Hollywood,CA,91606,5541,
7475347,01-01-2010 00:36,114,3398,$-64.00,Swipe Transaction,61195,North Hollywood,CA,91606,5541,
7475350,01-01-2010 00:38,114,3398,$64.00,Swipe Transaction,61195,North Hollywood,CA,91606,5541,
7475361,01-01-2010 00:53,1963,3317,$40.35,Swipe Transaction,69972,Vacaville,CA,95687,5814,
7475363,01-01-2010 00:57,285,3442,$7.80,Swipe Transaction,81536,Watsonville,CA,95076,5310,
7475370,01-01-2010 01:07,1963,3364,$48.12,Swipe Transaction,88646,Vacaville,CA,95688,5812,
7475378,01-01-2010 01:19,1575,2112,$17.14,Swipe Transaction,29232,Osprey,FL,34229,4121,
7475394,01-01-2010 01:46,1575,224,$34.34,Online Transaction,16798,ONLINE,,,4121,
7475427,01-01-2010 02:17,1776,4938,$66.05,Online Transaction,39021,ONLINE,,,4784,
7475509,01-01-2010 04:45,1718,4706,$46.21,Online Transaction,15143,ONLINE,,,4784,
7475515,01-01-2010 04:54,464,3233,$104.40,Swipe Transaction,32175,Orlando,FL,32804,7538,
7475516,01-01-2010 04:56,464,3233,$104.10,Swipe Transaction,32175,Orlando,FL,32804,7538,Technical Glitch
7475527,01-01-2010 05:15,1098,4626,$6.76,Swipe Transaction,50867,Hawarden,IA,51023,5541,
7475539,01-01-2010 05:38,1696,2408,$4.02,Swipe Transaction,35451,Merritt Island,FL,32952,5812,
7475548,01-01-2010 05:46,1776,4938,$11.91,Swipe Transaction,73840,Nashport,OH,43830,5912,
7475586,01-01-2010 06:03,1696,2408,$9.68,Online Transaction,39021,ONLINE,,,4784,
7475591,01-01-2010 06:06,997,5046,$35.90,Swipe Transaction,83070,Chula Vista,CA,91913,4121,
7475592,01-01-2010 06:07,112,1134,$23.61,Online Transaction,39021,ONLINE,,,4784,
7475611,01-01-2010 06:10,1797,1127,$28.84,Online Transaction,15143,ONLINE,,,4784,Bad Expiration
7475643,01-01-2010 06:19,1797,1127,$38.58,Online Transaction,15143,ONLINE,,,4784,Bad Card Number
7475734,01-01-2010 06:47,1797,1127,$46.63,Online Transaction,15143,ONLINE,,,4784,
7475751,01-01-2010 06:52,1098,4626,$46.25,Swipe Transaction,40616,Battle Creek,IA,51006,7349,
7475752,01-01-2010 06:52,1718,2029,$10.60,Swipe Transaction,20519,Spring Valley,CA,91977,5942,
7475755,01-01-2010 06:53,1696,2408,$3.41,Swipe Transaction,75781,Merritt Island,FL,32953,5411,
7475794,01-01-2010 07:02,1963,4565,$4.60,Swipe Transaction,78854,Vacaville,CA,95687,5411,
7475804,01-01-2010 07:05,1727,5982,$162.91,Online Transaction,73186,ONLINE,,,4814,
7475822,01-01-2010 07:08,1963,3364,$28.69,Online Transaction,18563,ONLINE,,,4121,
7475839,01-01-2010 07:11,464,3233,$54.63,Online Transaction,39021,ONLINE,,,4784,
7475845,01-01-2010 07:12,997,5046,$19.64,Swipe Transaction,83070,Chula Vista,CA,91913,4121,
7475848,01-01-2010 07:13,997,5825,$1.45,Swipe Transaction,14528,Chula Vista,CA,91913,5499,
7475859,01-01-2010 07:16,1595,2472,$6.77,Swipe Transaction,50783,Bronx,NY,10466,5411,
7475890,01-01-2010 07:24,987,4146,$32.78,Online Transaction,39021,ONLINE,,,4784,
7475919,01-01-2010 07:33,987,4146,$6.17,Swipe Transaction,29209,Gaithersburg,MD,20879,5411,
7475922,01-01-2010 07:33,1575,224,$0.71,Swipe Transaction,14528,Sarasota,FL,34235,5499,
7475927,01-01-2010 07:34,1963,3317,$21.98,Online Transaction,16798,ONLINE,,,4121,
7475938,01-01-2010 07:37,987,5090,$32.28,Online Transaction,39021,ONLINE,,,4784,
7475960,01-01-2010 07:42,909,4663,$51.00,Swipe Transaction,59935,Olympia,WA,98516,5499,
7475963,01-01-2010 07:43,909,4663,$-51.00,Swipe Transaction,59935,Olympia,WA,98516,5499,
7475987,01-01-2010 07:47,1963,3317,$6.05,Swipe Transaction,50783,Vacaville,CA,95688,5411,
7475993,01-01-2010 07:48,1797,1127,$120.00,Swipe Transaction,27092,Kailua Kona,HI,96740,4829,
7476002,01-01-2010 07:51,909,4663,$23.58,Swipe Transaction,59935,Olympia,WA,98516,5499,
7476044,01-01-2010 08:03,987,4146,$34.31,Online Transaction,18563,ONLINE,,,4121,
7476070,01-01-2010 08:08,1098,4626,$-66.00,Swipe Transaction,50867,Hawarden,IA,51023,5541,
7476076,01-01-2010 08:09,1098,4626,$66.00,Swipe Transaction,50867,Hawarden,IA,51023,5541,
7476086,01-01-2010 08:12,1575,2112,$1.26,Swipe Transaction,14528,Sarasota,FL,34235,5499,
7476110,01-01-2010 08:21,1098,4626,$30.89,Swipe Transaction,50867,Hawarden,IA,51023,5541,
7476116,01-01-2010 08:22,909,3719,$31.64,Online Transaction,88998,ONLINE,,,4784,
7476125,01-01-2010 08:24,1963,4565,$23.02,Swipe Transaction,88852,Vacaville,CA,95687,4121,
7476139,01-01-2010 08:27,1659,5056,$30.00,Online Transaction,18563,ONLINE,,,4121,
7476156,01-01-2010 08:33,1659,3438,$29.07,Swipe Transaction,63683,Wauconda,IL,60084,4121,
7476218,01-01-2010 08:49,1963,3364,$27.29,Online Transaction,16798,ONLINE,,,4121,
7476248,01-01-2010 08:57,909,4663,$44.61,Online Transaction,88998,ONLINE,,,4784,
7476301,01-01-2010 09:06,997,5046,$13.46,Swipe Transaction,50783,Jamul,CA,91935,5411,
